H,Time,dT
15675.311642822286,1958-02-11 07:15:57.570574,69357.57057443428
15662.442198525003,1958-02-11 07:17:43.880491,69463.88049065898
15693.222522069997,1958-02-11 07:18:37.232562,69517.23256233665
15655.86798354733,1958-02-11 07:20:23.016842,69623.01684238717
15678.08946472748,1958-02-11 07:21:16.675535,69676.67553516643
15657.545179679926,1958-02-11 07:24:22.838347,69862.83834684956
15681.75238230865,1958-02-11 07:25:14.087874,69914.08787383056
15638.603694589485,1958-02-11 07:25:46.283089,69946.28308949813
15657.13631330374,1958-02-11 07:28:38.147346,70118.14734572929
15681.439480747058,1958-02-11 07:28:56.169157,70136.16915741493
15635.746225014067,1958-02-11 07:30:58.116750,70258.116749821
15659.355069831401,1958-02-11 07:32:37.311805,70357.31180497399
15676.090833354338,1958-02-11 07:34:11.025226,70451.02522573923
15610.006023545817,1958-02-11 07:34:24.691766,70464.69176626751
15648.819821169369,1958-02-11 07:36:32.946993,70592.94699276355
15662.061465156352,1958-02-11 07:38:23.856226,70703.8562255122
15631.88975234105,1958-02-11 07:39:04.780756,70744.78075621497
15617.646948392558,1958-02-11 07:38:47.509853,70727.50985334958
15578.68742178997,1958-02-11 07:42:05.937509,70925.93750909655
15648.037348453105,1958-02-11 07:43:00.866489,70980.8664892967
15632.141073875036,1958-02-11 07:42:31.781288,70951.7812876596
15659.317559154686,1958-02-11 07:49:32.290227,71372.29022699092
15643.7731347242,1958-02-11 07:48:20.453283,71300.45328318849
15657.569249030817,1958-02-11 07:53:56.422405,71636.4224045084
15646.024713093988,1958-02-11 07:54:50.738143,71690.73814250536
15674.66242678505,1958-02-11 07:57:35.525083,71855.52508310584
15654.36802536221,1958-02-11 07:57:42.007929,71862.00792925384
15599.476776592059,1958-02-11 07:57:48.140351,71868.14035128577
15625.726373050093,1958-02-11 08:00:11.639027,72011.63902683256
15675.360875585475,1958-02-11 08:01:18.394821,72078.39482095143
15658.03094294338,1958-02-11 08:01:39.420268,72099.42026791797
15642.325691486481,1958-02-11 08:01:58.474579,72118.47457923142
15607.15708764935,1958-02-11 08:05:12.302918,72312.30291845446
15660.249699471042,1958-02-11 08:05:38.584727,72338.58472716267
15642.265955733814,1958-02-11 08:05:42.264180,72342.26418038183
15595.262452063185,1958-02-11 08:06:57.430153,72417.43015328728
15631.579820374696,1958-02-11 08:08:44.528524,72524.52852377323
15640.447188055516,1958-02-11 08:10:14.543719,72614.54371859883
15566.051012571776,1958-02-11 08:10:04.030995,72604.03099511557
15623.50236502769,1958-02-11 08:12:25.952762,72745.95276213987
15640.862931389102,1958-02-11 08:14:25.973022,72865.97302190734
15505.448763271843,1958-02-11 08:15:19.412700,72919.41269961404
15656.422672679246,1958-02-11 08:16:48.332819,73008.3328190768
15638.744828510624,1958-02-11 08:18:10.244456,73090.24445621739
15657.923724925771,1958-02-11 08:21:08.522725,73268.52272528806
15644.215135531487,1958-02-11 08:22:15.541337,73335.54133749398
15573.442491418366,1958-02-11 08:23:01.096473,73381.09647258821
15664.831628631717,1958-02-11 08:24:41.843406,73481.84340596967
15592.694471135312,1958-02-11 08:26:03.317013,73563.31701296511
15646.435642557395,1958-02-11 08:26:22.765551,73582.76555140919
15632.932080270255,1958-02-11 08:29:22.401714,73762.40171392978
15649.954144033214,1958-02-11 08:30:20.353102,73820.35310213137
15542.504623031171,1958-02-11 08:32:12.576425,73932.57642531539
15653.470019761664,1958-02-11 08:34:05.851021,74045.8510208478
15636.247086324896,1958-02-11 08:34:20.700243,74060.70024276794
15565.289545834472,1958-02-11 08:34:46.325006,74086.32500625843
15657.11380689771,1958-02-11 08:38:10.196751,74290.19675095209
15641.167080459461,1958-02-11 08:37:46.355396,74266.35539590966
15563.17581920161,1958-02-11 08:38:50.745827,74330.74582724477
15591.376345955565,1958-02-11 08:41:17.923956,74477.92395601071
15655.287036941714,1958-02-11 08:40:30.616700,74430.61670033594
15631.47807266411,1958-02-11 08:42:30.198930,74550.19892995828
15611.988462810177,1958-02-11 08:43:24.076638,74604.07663781011
15598.991013328607,1958-02-11 08:43:39.845723,74619.84572303505
15560.056431326033,1958-02-11 08:48:53.124883,74933.12488283687
15575.682253924988,1958-02-11 08:50:47.187933,75047.18793263046
15607.07831522825,1958-02-11 08:54:35.138820,75275.13882015966
15620.388228646852,1958-02-11 08:56:07.825999,75367.82599887058
15638.173728457645,1958-02-11 08:57:29.036788,75449.03678777895
15619.245372104055,1958-02-11 08:59:52.929690,75592.9296904564
15603.021535541578,1958-02-11 09:01:58.425327,75718.4253270381
15629.039409794208,1958-02-11 09:03:12.671437,75792.67143663878
15663.038618284763,1958-02-11 09:05:15.538892,75915.53889234964
15641.514991985989,1958-02-11 09:04:28.231637,75868.23163667484
15683.796089011645,1958-02-11 09:06:38.326590,75998.32658978047
15664.327110029906,1958-02-11 09:09:07.194263,76147.19426339197
15647.009368357743,1958-02-11 09:10:24.350145,76224.35014467106
15619.222396814566,1958-02-11 09:11:58.526626,76318.52662587546
15661.483800734948,1958-02-11 09:12:37.949339,76357.94933893779
15638.39973028485,1958-02-11 09:14:49.608685,76489.60868541889
15618.907307130165,1958-02-11 09:15:30.533216,76530.53321612166
