datetime,x,y,z
1989-03-11 14:00:10,16579,-4133,54664
1989-03-11 14:00:20,16579,-4136,54662
1989-03-11 14:00:30,16578,-4134,54663
1989-03-11 14:00:40,16577,-4134,54663
1989-03-11 14:00:50,16575,-4135,54661
1989-03-11 14:01:00,16576,-4134,54661
1989-03-11 14:01:10,16575,-4134,54661
1989-03-11 14:01:20,16575,-4134,54660
1989-03-11 14:01:30,16575,-4133,54663
1989-03-11 14:01:40,16574,-4133,54661
1989-03-11 14:01:50,16576,-4134,54660
1989-03-11 14:02:00,16576,-4133,54659
1989-03-11 14:02:10,16577,-4131,54662
1989-03-11 14:02:20,16576,-4132,54660
1989-03-11 14:02:30,16577,-4131,54661
1989-03-11 14:02:40,16577,-4131,54661
1989-03-11 14:02:50,16578,-4130,54662
1989-03-11 14:03:00,16578,-4129,54663
1989-03-11 14:03:10,16579,-4130,54661
1989-03-11 14:03:20,16577,-4131,54660
1989-03-11 14:03:30,16578,-4129,54663
1989-03-11 14:03:40,16578,-4130,54662
1989-03-11 14:03:50,16577,-4132,54659
1989-03-11 14:04:00,16578,-4130,54662
1989-03-11 14:04:10,16579,-4132,54660
1989-03-11 14:04:20,16578,-4130,54663
1989-03-11 14:04:30,16577,-4130,54663
1989-03-11 14:04:40,16577,-4132,54660
1989-03-11 14:04:50,16577,-4129,54663
1989-03-11 14:05:00,16577,-4130,54659
1989-03-11 14:05:10,16578,-4131,54661
1989-03-11 14:05:20,16576,-4131,54659
1989-03-11 14:05:30,16577,-4131,54659
1989-03-11 14:05:40,16577,-4130,54660
1989-03-11 14:05:50,16577,-4129,54660
1989-03-11 14:06:00,16576,-4130,54659
1989-03-11 14:06:10,16577,-4127,54660
1989-03-11 14:06:20,16576,-4127,54661
1989-03-11 14:06:30,16576,-4127,54662
1989-03-11 14:06:40,16578,-4128,54659
1989-03-11 14:06:50,16577,-4127,54660
1989-03-11 14:07:00,16577,-4128,54660
1989-03-11 14:07:10,16578,-4129,54658
1989-03-11 14:07:20,16577,-4128,54660
1989-03-11 14:07:30,16576,-4128,54660
1989-03-11 14:07:40,16576,-4128,54660
1989-03-11 14:07:50,16576,-4130,54659
1989-03-11 14:08:00,16576,-4129,54660
1989-03-11 14:08:10,16577,-4130,54659
1989-03-11 14:08:20,16576,-4129,54660
1989-03-11 14:08:30,16576,-4130,54659
1989-03-11 14:08:40,16576,-4130,54660
1989-03-11 14:08:50,16575,-4129,54660
1989-03-11 14:09:00,16578,-4128,54660
1989-03-11 14:09:10,16576,-4130,54659
1989-03-11 14:09:20,16576,-4126,54661
1989-03-11 14:09:30,16576,-4129,54658
1989-03-11 14:09:40,16575,-4127,54659
1989-03-11 14:09:50,16576,-4127,54659
1989-03-11 14:10:00,16576,-4127,54659
1989-03-11 14:10:10,16577,-4127,54659
1989-03-11 14:10:20,16577,-4127,54659
1989-03-11 14:10:30,16577,-4127,54659
1989-03-11 14:10:40,16577,-4127,54659
1989-03-11 14:10:50,16576,-4126,54660
1989-03-11 14:11:00,16577,-4126,54659
1989-03-11 14:11:10,16577,-4127,54658
1989-03-11 14:11:20,16576,-4126,54659
1989-03-11 14:11:30,16576,-4124,54660
1989-03-11 14:11:40,16578,-4124,54660
1989-03-11 14:11:50,16577,-4123,54660
1989-03-11 14:12:00,16576,-4124,54658
1989-03-11 14:12:10,16577,-4124,54660
1989-03-11 14:12:20,16575,-4124,54661
1989-03-11 14:12:30,16576,-4124,54660
1989-03-11 14:12:40,16575,-4126,54658
1989-03-11 14:12:50,16576,-4124,54660
