D,Time,dT
9.888137330303197,1958-02-11 08:23:10.820018,73390.82001830806
10.074244219148248,1958-02-11 08:28:27.874718,73707.87471788317
10.088955847122795,1958-02-11 08:30:47.872897,73847.87289691632
10.0814957704799,1958-02-11 08:33:16.106263,73996.10626295145
9.882302524468527,1958-02-11 08:42:23.746199,74543.74619858115
9.871745233643923,1958-02-11 08:53:55.501907,75235.50190674502
9.260935471760167,1958-02-11 03:11:37.843198,54697.84319829236
9.30747851994109,1958-02-11 03:17:40.932984,55060.932983501574
9.335420737246892,1958-02-11 03:21:42.992840,55302.99284030773
9.372294631052203,1958-02-11 03:17:40.932984,55060.932983501574
9.409578234788682,1958-02-11 03:23:44.022769,55424.02276871083
10.5543897244642,1958-02-11 02:01:01.795704,50461.79570418463
10.50776473429704,1958-02-11 01:52:57.675991,49977.67599057234
10.02119322003942,1958-02-10 19:59:57.438520,28797.438520033793
9.91016182869232,1958-02-10 20:01:58.468448,28918.46844843687
9.955967398997139,1958-02-10 19:49:52.288878,28192.288878018415
10.057985171858496,1958-02-10 19:53:54.348735,28434.34873482456
9.932122281003037,1958-02-10 17:38:45.343532,20325.343531818384
9.886234768711986,1958-02-10 17:48:50.493174,20930.493173833773
9.904917541573342,1958-02-11 01:28:45.316850,48525.31684973542
9.941955319351122,1958-02-11 01:28:45.316850,48525.31684973542
10.2289980971289,1958-02-11 01:28:45.316850,48525.31684973542
10.275459203323589,1958-02-11 01:32:47.376707,48767.37670654157
10.173605314434699,1958-02-11 01:32:47.376707,48767.37670654157
10.145581155142665,1958-02-11 01:26:44.286921,48404.28692133232
10.377804744129882,1958-02-11 01:44:53.556277,49493.556276960044
10.350518062713952,1958-02-11 01:56:59.735847,50219.735847378484
10.45212612564414,1958-02-11 01:50:56.646062,49856.64606216926
10.304384724464198,1958-02-11 02:01:01.795704,50461.79570418463
10.221131666450432,1958-02-11 02:03:02.825633,50582.82563258773
10.573072497325555,1958-02-11 02:05:03.855561,50703.8555609908
10.899037718564493,1958-02-11 02:51:27.543914,53487.54391426158
10.815784660550728,1958-02-11 02:53:28.573843,53608.57384266466
10.686316322300973,1958-02-11 02:57:30.633699,53850.63369947081
10.390096042064986,1958-02-11 02:59:31.663628,53971.66362787389
9.982598544523196,1958-02-11 02:57:30.633699,53850.63369947081
9.853212148259676,1958-02-11 03:03:33.723485,54213.723484680035
9.408840756912577,1958-02-11 03:05:34.753413,54334.75341308312
9.33476520135702,1958-02-11 03:05:34.753413,54334.75341308312
9.288631863107266,1958-02-11 03:09:36.813270,54576.81326988928
9.400892384247875,1958-02-11 03:37:51.232268,56271.232267532345
9.317557384247875,1958-02-11 03:37:51.232268,56271.232267532345
9.252741273136765,1958-02-11 03:37:51.232268,56271.232267532345
