Time,H,dT
1958-02-11 05:43:00,15840.145121541203,63779.99999998657
1958-02-11 05:43:20,15841.455055386128,63799.99999998422
1958-02-11 05:43:40,15842.764989231053,63819.999999981876
1958-02-11 05:44:00,15844.07492307598,63839.99999997953
1958-02-11 05:44:20,15845.384856920904,63859.99999997719
1958-02-11 05:44:40,15846.69479076583,63879.99999997484
1958-02-11 05:45:00,15848.6616477875,63899.99999997584
1958-02-11 05:45:20,15852.591458738782,63919.999999986816
1958-02-11 05:45:40,15856.521269690063,63939.999999997795
1958-02-11 05:46:00,15860.451080641347,63960.000000008775
1958-02-11 05:46:20,15864.38089159263,63980.000000019754
1958-02-11 05:46:40,15868.310702543911,64000.00000003073
1958-02-11 05:47:00,15872.240513495193,64020.000000041706
1958-02-11 05:47:20,15876.170324446477,64040.000000052685
1958-02-11 05:47:40,15880.100135397759,64060.000000063665
1958-02-11 05:48:00,15884.029946349041,64080.000000074644
1958-02-11 05:48:20,15887.959757300323,64100.00000008562
1958-02-11 05:48:40,15891.889568251607,64120.000000096596
1958-02-11 05:49:00,15895.819379202889,64140.000000107575
1958-02-11 05:49:20,15899.74919015417,64160.000000118554
1958-02-11 05:49:40,15903.679001105453,64180.000000129534
1958-02-11 05:50:00,15907.608812056736,64200.00000014051
1958-02-11 05:50:20,15907.271625873043,64220.000000154076
1958-02-11 05:50:40,15898.02235736675,64240.00000017304
1958-02-11 05:51:00,15888.773088860458,64260.000000192
1958-02-11 05:51:20,15879.523820354167,64280.00000021096
1958-02-11 05:51:40,15870.274551847873,64300.00000022993
1958-02-11 05:52:00,15861.025283341582,64320.00000024889
1958-02-11 05:52:20,15851.77601483529,64340.00000026785
1958-02-11 05:52:40,15842.526746328998,64360.00000028681
1958-02-11 05:53:00,15833.277477822705,64380.00000030577
1958-02-11 05:53:20,15824.028209316413,64400.00000032474
1958-02-11 05:53:40,15814.778940810122,64420.0000003437
1958-02-11 05:54:00,15805.529672303828,64440.00000036266
1958-02-11 05:54:20,15860.813037301166,64460.000000266344
1958-02-11 05:54:40,15855.430960587066,64480.00000028705
1958-02-11 05:55:00,15850.048883872965,64500.000000307766
1958-02-11 05:55:20,15844.666807158865,64520.00000032848
1958-02-11 05:55:40,15839.284730444764,64540.00000034919
1958-02-11 05:56:00,15833.902653730664,64560.0000003699
1958-02-11 05:56:20,15828.83183248428,64580.0000003888
1958-02-11 05:56:40,15836.670506034247,64600.00000033249
1958-02-11 05:57:00,15844.509179584213,64620.00000027619
1958-02-11 05:57:20,15852.34785313418,64640.00000021988
1958-02-11 05:57:40,15860.186526684147,64660.00000016357
1958-02-11 05:58:00,15868.025200234113,64680.00000010726
1958-02-11 05:58:20,15875.86387378408,64700.00000005096
1958-02-11 05:58:40,15883.702547334047,64719.99999999465
1958-02-11 05:59:00,15891.541220884013,64739.99999993834
1958-02-11 05:59:20,15898.197238093058,64759.99999989385
1958-02-11 05:59:40,15900.486524059197,64779.999999892985
1958-02-11 06:00:00,15902.775810025338,64799.99999989211
1958-02-11 06:00:20,15905.065095991476,64819.999999891246
1958-02-11 06:00:40,15907.354381957615,64839.99999989038
1958-02-11 06:01:00,15909.643667923754,64859.999999889515
1958-02-11 06:01:20,15911.932953889893,64879.99999988864
1958-02-11 06:01:40,15914.222239856033,64899.999999887776
1958-02-11 06:02:00,15916.511525822172,64919.99999988691
1958-02-11 06:02:20,15918.800811788311,64939.999999886044
1958-02-11 06:02:40,15921.09009775445,64959.99999988517
1958-02-11 06:03:00,15923.37938372059,64979.999999884305
1958-02-11 06:03:20,15925.66866968673,64999.99999988344
1958-02-11 06:03:40,15927.957955652868,65019.99999988257
1958-02-11 06:04:00,15930.247241619007,65039.9999998817
1958-02-11 06:04:20,15932.536527585145,65059.999999880834
