Time,Z,dT
1958-02-10 17:23:20,44960.83014634941,19399.999999692034
1958-02-10 17:23:40,44960.75493543337,19419.999999711097
1958-02-10 17:24:00,44960.679724517315,19439.999999730164
1958-02-10 17:24:20,44960.60451360127,19459.99999974923
1958-02-10 17:24:40,44960.529302685216,19479.999999768293
1958-02-10 17:25:00,44960.45409176917,19499.99999978736
1958-02-10 17:25:20,44960.37888085312,19519.999999806423
1958-02-10 17:25:40,44960.30366993707,19539.99999982549
1958-02-10 17:26:00,44960.22845902102,19559.999999844553
1958-02-10 17:26:20,44960.15324810497,19579.99999986362
1958-02-10 17:26:40,44960.07803718892,19599.999999882682
1958-02-10 17:27:00,44960.002826272874,19619.99999990175
1958-02-10 17:27:20,44959.92761535682,19639.999999920816
1958-02-10 17:27:40,44959.852404440775,19659.99999993988
1958-02-10 17:28:00,44959.77719352472,19679.999999958945
1958-02-10 17:28:20,44959.701982608676,19699.99999997801
1958-02-10 17:28:40,44959.62677169262,19719.999999997075
1958-02-10 17:29:00,44959.55156077658,19740.000000016138
1958-02-10 17:29:20,44959.476349860524,19760.000000035205
1958-02-10 17:29:40,44959.40113894448,19780.00000005427
1958-02-10 17:30:00,44959.325928028426,19800.000000073334
1958-02-10 17:30:20,44959.25071711238,19820.0000000924
1958-02-10 17:30:40,44959.17550619633,19840.000000111464
1958-02-10 17:31:00,44959.10029528028,19860.00000013053
1958-02-10 17:31:20,44959.02508436423,19880.000000149594
1958-02-10 17:31:40,44958.94987344818,19900.00000016866
1958-02-10 17:32:00,44958.87466253213,19920.000000187723
1958-02-10 17:32:20,44958.79945161608,19940.00000020679
1958-02-10 17:32:40,44958.72424070003,19960.000000225857
1958-02-10 17:33:00,44958.649029783985,19980.00000024492
1958-02-10 17:33:20,44958.57381886793,20000.000000263986
1958-02-10 17:33:40,44958.49860795188,20020.00000028305
1958-02-10 17:34:00,44958.42339703583,20040.000000302116
1958-02-10 17:34:20,44958.29223542614,20060.00000030434
1958-02-10 17:34:40,44958.12175735,20080.000000294727
1958-02-10 17:35:00,44957.95127927387,20100.00000028512
1958-02-10 17:35:20,44957.78080119773,20120.000000275508
1958-02-10 17:35:40,44957.6103231216,20140.000000265896
1958-02-10 17:36:00,44957.43984504546,20160.000000256285
1958-02-10 17:36:20,44957.269366969325,20180.000000246677
1958-02-10 17:36:40,44957.0988888932,20200.000000237065
1958-02-10 17:37:00,44956.92841081706,20220.000000227454
1958-02-10 17:37:20,44956.757932740926,20240.000000217846
1958-02-10 17:37:40,44956.58745466479,20260.000000208234
1958-02-10 17:38:00,44956.416976588655,20280.000000198623
1958-02-10 17:38:20,44956.24649851252,20300.00000018901
1958-02-10 17:38:40,44956.07602043638,20320.000000179403
1958-02-10 17:39:00,44955.90554236025,20340.00000016979
1958-02-10 17:39:20,44955.73506428411,20360.00000016018
1958-02-10 17:39:40,44955.56458620798,20380.000000150572
1958-02-10 17:40:00,44955.39410813185,20400.00000014096
